name,followers_number,avatar_url,average_views,price
_FanBoyZ,2473,https://pbs.twimg.com/profile_images/1765041488235241473/e7WqMt2S_bigger.jpg,32,0.055
VishalHKothari,2487,https://pbs.twimg.com/profile_images/1294816320064643072/wG7MlGcC_bigger.jpg,0,0.06
JayKillXRP,2522,https://pbs.twimg.com/profile_images/1822575511597391873/GhQ5oJj-_bigger.jpg,0,0.06
_LewisHarland_,2528,https://pbs.twimg.com/profile_images/1567922803642437632/3n01SuiJ_bigger.jpg,0,0.06
WolfofKrypto,2580,https://pbs.twimg.com/profile_images/1529528060613099523/71pG02b5_bigger.jpg,0,0.06
dvchan0,2595,https://pbs.twimg.com/profile_images/1796167071304126464/ZaV7bGJA_bigger.jpg,0,0.06
Drew_Evans96,2596,https://pbs.twimg.com/profile_images/1837460003508441093/1yY_SQfu_bigger.jpg,0,0.06
Devkrz,2609,https://pbs.twimg.com/profile_images/1788536515326328833/iI3ApG3a_bigger.jpg,329,0.06
0x_Lunatic,2607,https://pbs.twimg.com/profile_images/1730568952030654464/bBKoBlzn_bigger.jpg,0,0.06
BY_DeFi,2618,https://pbs.twimg.com/profile_images/1773904013257293824/qBZ61hwW_bigger.jpg,34.5,0.06
Dave_Kayac,2624,https://pbs.twimg.com/profile_images/1756980563985010688/aY-7n-7x_bigger.jpg,0,0.06
kartunetwork93,2661,https://pbs.twimg.com/profile_images/1791062027521433600/AOngqxAd_bigger.jpg,0,0.06
coyepond,2690,https://pbs.twimg.com/profile_images/1834045716106231808/0DRJbPv__bigger.jpg,0,0.06
eth_cedric,2719,https://pbs.twimg.com/profile_images/1818858520009113600/2dZLVc4t_bigger.jpg,0,0.06
ThinkingETH,2791,https://pbs.twimg.com/profile_images/1598534708597608450/c36u6wQT_bigger.jpg,0,0.06
gamefiventures,2806,https://pbs.twimg.com/profile_images/1824367966672330752/xdnxzIhD_bigger.jpg,72,0.06
xZenBen,2809,https://pbs.twimg.com/profile_images/1766165614844899328/v3puraRx_bigger.jpg,0,0.06
unkrakable,2822,https://pbs.twimg.com/profile_images/1671404722094501888/mQKKNUBF_bigger.jpg,0,0.06
0xmikko_eth,2831,https://pbs.twimg.com/profile_images/1729450893110571008/S8Hnbxn8_bigger.jpg,0,0.06
matt_mamigonian,2830,https://pbs.twimg.com/profile_images/1522774122161442822/088fn9Ht_bigger.jpg,0,0.06
404_cole,2838,https://pbs.twimg.com/profile_images/1587564141216137216/Z2u2V4aB_bigger.jpg,0,0.06
Mangyek0,2842,https://pbs.twimg.com/profile_images/1736672812109045760/GxfPtahW_bigger.jpg,0,0.06
shalinpei,2865,https://pbs.twimg.com/profile_images/1487480189785411588/A3fEYOnp_bigger.jpg,0,0.06
0xrohan,2866,https://pbs.twimg.com/profile_images/1703629662478630912/MlilEUF3_bigger.jpg,397.5,0.06
AlisonbobEth,2868,https://pbs.twimg.com/profile_images/1681733689158537218/JzKCZRr5_bigger.jpg,0,0.06
MikeKoop,2874,https://pbs.twimg.com/profile_images/1592546785221804032/7wJHi_6D_bigger.jpg,0,0.06
genxtraders,2931,https://pbs.twimg.com/profile_images/1815109845135319040/38gqKMWr_bigger.jpg,0,0.06
MrGavinLow,2957,https://pbs.twimg.com/profile_images/1744660908499156992/bxFefSWY_bigger.jpg,0,0.06
cryptopunkart,2967,https://pbs.twimg.com/profile_images/1757863020376514560/F5t_nqX0_bigger.jpg,70,0.06
triippysol,2979,https://pbs.twimg.com/profile_images/1826964431252709377/lN8KUHGS_bigger.jpg,28,0.06
candycarpet,2999,https://pbs.twimg.com/profile_images/1747746018345537536/URp5wmRC_bigger.jpg,0,0.06
0xfudamentals,3003,https://pbs.twimg.com/profile_images/1378573990780760067/nr2h1j74_bigger.jpg,0,0.06
0xairtx,3021,https://pbs.twimg.com/profile_images/1707458754000912385/cJMtt2KH_bigger.jpg,0,0.06
adriankpang,3208,https://pbs.twimg.com/profile_images/1590423776709181448/9_ho_oRe_bigger.jpg,0,0.06
stakedvc,3213,https://pbs.twimg.com/profile_images/1661425981263949824/27eaWyZQ_bigger.jpg,0,0.06
Keni210689,3217,https://pbs.twimg.com/profile_images/1649830233548152832/rDIFAhrE_bigger.jpg,0,0.06
CasperJohansen,3228,https://pbs.twimg.com/profile_images/1569119930527940608/rM4U5uJN_bigger.jpg,0,0.06
chiachih_wu,3233,https://pbs.twimg.com/profile_images/309657928/head2_bigger.JPG,0,0.06
ecardo5o,531,https://pbs.twimg.com/profile_images/1483613222443884545/MChM0XQE_bigger.jpg,0,0.06
0xshishi,511,https://pbs.twimg.com/profile_images/1836883442157432832/r_cCspID_bigger.jpg,0,0.06
0xparag,491,https://pbs.twimg.com/profile_images/1788866215534026752/Sm8FjOjy_bigger.jpg,0,0.06
Crypto_SheWrote,490,https://pbs.twimg.com/profile_images/1642962163848425472/VgnBQCt1_bigger.jpg,0,0.06
gggonecrypto,3314,https://pbs.twimg.com/profile_images/1440043947334664200/rZkpyuNi_bigger.jpg,0,0.07
CRYPTOBOYMOON,3470,https://pbs.twimg.com/profile_images/1562605555717398528/I9f3mkVu_bigger.jpg,12,0.07
NFTingOrSumtin,3475,https://pbs.twimg.com/profile_images/1662748340310736896/BeaOXvo6_bigger.jpg,0,0.07
scottshapiro,3615,https://pbs.twimg.com/profile_images/1484350005389398025/OMFAMDGW_bigger.png,0,0.07
Hammer86R,3666,https://pbs.twimg.com/profile_images/1571491217703145479/SENMVHxB_bigger.png,1094,0.08
0xsudogm,3703,https://pbs.twimg.com/profile_images/1540827168283844608/sQZ5EN9__bigger.jpg,393.5,0.08
Spade_Sol,3817,https://pbs.twimg.com/profile_images/1646101869171822592/mT20wxot_bigger.jpg,713,0.08
SapphireBTC,3823,https://pbs.twimg.com/profile_images/1774679398542970880/s0RWL7eZ_bigger.jpg,0,0.08
DbsCrypto,3822,https://pbs.twimg.com/profile_images/1529207796125818886/fs8Ww-6g_bigger.jpg,0,0.08
SloppySOL,3857,https://pbs.twimg.com/profile_images/1673914580291162112/fZ4W4bXq_bigger.jpg,282,0.08
crypjo091,3863,https://pbs.twimg.com/profile_images/1593228374733950978/QvSKKghr_bigger.jpg,0,0.08
HexerSol,3867,https://pbs.twimg.com/profile_images/1580309193470492674/azcDlZxo_bigger.jpg,95,0.08
Jin_8315,3875,https://pbs.twimg.com/profile_images/1424234846730088451/l81ozOnn_bigger.jpg,0,0.08
TheDhawalS,3911,https://pbs.twimg.com/profile_images/1630050604226625537/wlzPoX1b_bigger.jpg,0,0.08
fragosti,3918,https://pbs.twimg.com/profile_images/1437184275439259653/G7Nt6Bpj_bigger.jpg,0,0.08
0x_xifeng,3943,https://pbs.twimg.com/profile_images/1833102207740461056/d0PwqFnM_bigger.png,1243,0.08
spenceryang,3960,https://pbs.twimg.com/profile_images/1532219869902430208/ptk7LviI_bigger.jpg,0,0.08
Native_0x,3970,https://pbs.twimg.com/profile_images/1760335470972514305/5HfBtFfx_bigger.jpg,0,0.08
0xSamHarrison,3983,https://pbs.twimg.com/profile_images/1500966109192720384/kZBzLDyR_bigger.jpg,0,0.08
NFTpanic,3990,https://pbs.twimg.com/profile_images/1798206668364185600/i6xo6kAF_bigger.jpg,0,0.08
Trudahamzik,4005,https://pbs.twimg.com/profile_images/1524693342356795392/IM5was5a_bigger.jpg,0,0.08
DerekKlibingat,4017,https://pbs.twimg.com/profile_images/1839286854002290690/IbwLWoSO_bigger.jpg,60,0.08
jmw874,4028,https://pbs.twimg.com/profile_images/1638974952417161217/n7qj_SEP_bigger.jpg,0,0.08
myrarepepe,4032,https://pbs.twimg.com/profile_images/776835188672307202/7ooO90bZ_bigger.jpg,0,0.08
0xttk,4039,https://pbs.twimg.com/profile_images/1436491552549785600/Ko4D_zW__bigger.jpg,0,0.08
0xDeFiniTed,4073,https://pbs.twimg.com/profile_images/1510312878045380615/kVhfQRIq_bigger.jpg,0,0.08
sol_chapito,4110,https://pbs.twimg.com/profile_images/1527929459646402560/TAPIEATf_bigger.jpg,0,0.08
DjSterlingC,4125,https://pbs.twimg.com/profile_images/1822632279543324672/gybTMvQa_bigger.jpg,0,0.08
nftxmag,2692,https://pbs.twimg.com/profile_images/1787236829248303104/iV3mL5yV_bigger.jpg,0,0.1
0x_sukuna,144,https://pbs.twimg.com/profile_images/1837628212563566592/GTuX6EI3_bigger.jpg,0,0.1
MisakiBNB,597,https://pbs.twimg.com/profile_images/1826101744914542596/S8qjhVzZ_bigger.jpg,135.25,0.1
Web3medusa,15250,https://pbs.twimg.com/profile_images/1809611630675632128/CMYJcqYr_bigger.jpg,29,0.1
Speedy_biz,3144,https://pbs.twimg.com/profile_images/1839927922733314048/6kgAKcMp_bigger.jpg,0,0.1
robertgelti,1891,https://pbs.twimg.com/profile_images/1782337355174526976/sD7D6BuK_bigger.jpg,37,0.1
0xLitquidity,4198,https://pbs.twimg.com/profile_images/1815855919659696128/yTlXgqsk_bigger.jpg,0,0.1
0xAmplify,4215,https://pbs.twimg.com/profile_images/1564365631537160192/GOZTHT_a_bigger.jpg,0,0.1
AnnieFauv,4209,https://pbs.twimg.com/profile_images/1672358054753619970/EzRXQY3P_bigger.jpg,0,0.1
GrendelMarco,4249,https://pbs.twimg.com/profile_images/1838898111944507392/MSvAnkiz_bigger.jpg,0,0.1
WeileiY,4263,https://pbs.twimg.com/profile_images/1843351624460206081/VzTILRK4_bigger.png,490,0.1
jonathankingvc,4296,https://pbs.twimg.com/profile_images/1718864632809418752/39fF8hZc_bigger.jpg,0,0.1
TTx0x,4296,https://pbs.twimg.com/profile_images/1731971964523397120/1abUt0u5_bigger.jpg,317,0.1
otaku_1996sol,4302,https://pbs.twimg.com/profile_images/1751242717164654592/Rc32FV1u_bigger.jpg,275,0.1
danielque,4294,https://pbs.twimg.com/profile_images/1499249969932664834/dNzsKbKD_bigger.jpg,272,0.1
camron_miraftab,4357,https://pbs.twimg.com/profile_images/1818259444532154368/LZtC-ILb_bigger.jpg,6319,0.1
0xryankim,4377,https://pbs.twimg.com/profile_images/1774949170581008384/RIWJTtMq_bigger.jpg,0,0.1
A_BertoG,4418,https://pbs.twimg.com/profile_images/1778434670755028993/u7pF5spK_bigger.jpg,0,0.1
kaansolana,4437,https://pbs.twimg.com/profile_images/1797008307741249536/h8LUDp6t_bigger.jpg,701,0.1
exodus_sol,4467,https://pbs.twimg.com/profile_images/1611329959259426816/GjYNyx_5_bigger.jpg,0,0.1
CryptoMan_Ram,4492,https://pbs.twimg.com/profile_images/1048804541368426496/xsd7ATM__bigger.jpg,500,0.1
kurtgrela,4502,https://pbs.twimg.com/profile_images/1780566518683553792/civqzkj6_bigger.jpg,0,0.1
idealexit,4506,https://pbs.twimg.com/profile_images/1604893752853729298/qJ3Knr9I_bigger.png,32.66666667,0.1
LilApeCapital,4531,https://pbs.twimg.com/profile_images/1729904584011788288/KV4j31dl_bigger.jpg,0,0.1
nocoffeenobrain,4554,https://pbs.twimg.com/profile_images/1803349602978189312/8cDUzL_-_bigger.jpg,880,0.1
YayaONFT,4586,https://pbs.twimg.com/profile_images/1792944835537592320/RN6ftYGf_bigger.jpg,0,0.1
DeNomics_,4585,https://pbs.twimg.com/profile_images/1714791825733808128/yVsjnM76_bigger.jpg,0,0.1
John_Wxck,4601,https://pbs.twimg.com/profile_images/1641150597834342421/1c2xgsFB_bigger.jpg,0,0.1
RoshanChain,4598,https://pbs.twimg.com/profile_images/1570850298712711169/Zvq_annt_bigger.png,0,0.1
Brand0_XYZ,4618,https://pbs.twimg.com/profile_images/1791778438598275073/yC_Nxaqo_bigger.jpg,0,0.1
CryftBolt,4624,https://pbs.twimg.com/profile_images/1834638975119835136/_bX7mKCC_bigger.jpg,94,0.1
cectuz,4631,https://pbs.twimg.com/profile_images/1825284983881424896/wGOc4JSn_bigger.jpg,0,0.1
mrpigbrain,4631,https://pbs.twimg.com/profile_images/1824960502272827393/bNl6xFfd_bigger.jpg,221,0.1
smokey0x,4684,https://pbs.twimg.com/profile_images/1785448007959240704/D738fra0_bigger.jpg,0,0.1
0xWagieBot,4686,https://pbs.twimg.com/profile_images/1754300592154144768/OUJ1AKEL_bigger.jpg,1007,0.1
AsakaEia,3149,https://pbs.twimg.com/profile_images/1784517972293230592/VQMqE5LZ_bigger.jpg,166,0.13
0xGRAFFITO,4705,https://pbs.twimg.com/profile_images/1754244412073291776/zIODYlqm_bigger.jpg,0,0.13
gphummer,4886,https://pbs.twimg.com/profile_images/1656358018991403013/ODcURfey_bigger.jpg,0,0.13
JimmyCap_,4901,https://pbs.twimg.com/profile_images/1611223666074714112/bG_nTKG2_bigger.jpg,0,0.13
manan19,4926,https://pbs.twimg.com/profile_images/1816474767098253312/M5qbl3zg_bigger.jpg,0,0.13
0xnushi,4945,https://pbs.twimg.com/profile_images/1494057129711439874/JmKoTOk9_bigger.jpg,0,0.13
0xJiro,4951,https://pbs.twimg.com/profile_images/1787558145457278979/q6RuuS5n_bigger.jpg,0,0.13
j_finer,4963,https://pbs.twimg.com/profile_images/1732483855200759808/p2FguxKh_bigger.jpg,325,0.13
blackflagMO,4971,https://pbs.twimg.com/profile_images/1633512435691978753/IqK7763g_bigger.jpg,0,0.13
CryptoDoper,4991,https://pbs.twimg.com/profile_images/1746637914820444160/sEI-B_ee_bigger.jpg,0,0.13
Genia_XBT,5034,https://pbs.twimg.com/profile_images/1732115115384680448/LLyZfYty_bigger.jpg,0,0.15
glockNFT,5029,https://pbs.twimg.com/profile_images/1735408410546319360/WTUun5NN_bigger.jpg,91,0.15
ILIA_0x,5050,https://pbs.twimg.com/profile_images/1770060791032709120/907JLxj8_bigger.jpg,0,0.15
NYF_SOL,5052,https://pbs.twimg.com/profile_images/1838344299722813440/R_kOBiKS_bigger.jpg,0,0.15
barrett_io,5057,https://pbs.twimg.com/profile_images/1766253348389548032/Ut2B-jts_bigger.jpg,121,0.15
CryptoRamel,5056,https://pbs.twimg.com/profile_images/1075845548429770752/-JedFqzj_bigger.jpg,0,0.15
dervoiedk,5077,https://pbs.twimg.com/profile_images/1543288532806107137/et9d_8k6_bigger.jpg,238,0.15
GandalfTheBr0wn,5095,https://pbs.twimg.com/profile_images/1770911113686769666/ZUwD97LH_bigger.jpg,0,0.15
arsenaharonyan,5114,https://pbs.twimg.com/profile_images/1634856592867827713/U0BusjZZ_bigger.jpg,680,0.15
crabbylions,5195,https://pbs.twimg.com/profile_images/1744808919518822400/tYvudcDg_bigger.jpg,333,0.15
Genuinrisk,5201,https://pbs.twimg.com/profile_images/1749808590674890752/nPcq77kC_bigger.jpg,157,0.15
mkriak,5204,https://pbs.twimg.com/profile_images/1673690795256233987/XBzAFj-h_bigger.jpg,0,0.15
phillipliujr,5221,https://pbs.twimg.com/profile_images/1828251320043667456/IGtVzT2t_bigger.jpg,0,0.15
0xTangle,5229,https://pbs.twimg.com/profile_images/1821207382279720960/ky0sTyWF_bigger.jpg,0,0.15
LumeeNFT,5265,https://pbs.twimg.com/profile_images/1806710293902364672/8o-Wn9vO_bigger.jpg,418,0.15
tansawit,5261,https://pbs.twimg.com/profile_images/1795735035968192513/c6PNm6y2_bigger.jpg,33258,0.15
yummyuyu_,5261,https://pbs.twimg.com/profile_images/1806904792243167232/EIYqIMYY_bigger.jpg,473,0.15
edogg82,5257,https://pbs.twimg.com/profile_images/1654070177506418689/fgmg9mez_bigger.jpg,476,0.15
daosasha,5300,https://pbs.twimg.com/profile_images/1772653456509030400/CL7f8VIY_bigger.jpg,0,0.15
wolvrinheart,5297,https://pbs.twimg.com/profile_images/1771454565646548992/PTsbyIgr_bigger.jpg,0,0.15
xDuumbo,5336,https://pbs.twimg.com/profile_images/1752562770233507840/emwkosc8_bigger.jpg,0,0.15
apram89,5338,https://pbs.twimg.com/profile_images/1649809022260740099/oajXLREp_bigger.jpg,0,0.15
wastey00t,5404,https://pbs.twimg.com/profile_images/1760499297403985920/Gw3FVihf_bigger.jpg,0,0.15
moontoddler,5409,https://pbs.twimg.com/profile_images/1682692469463343104/XK68_SCD_bigger.jpg,0,0.15
permissionlesol,5438,https://pbs.twimg.com/profile_images/1568300901458223106/-slsaVJc_bigger.jpg,0,0.15
PolyPup1,5428,https://pbs.twimg.com/profile_images/1759967586945572864/rVDU2Vgs_bigger.jpg,0,0.15
KamilBrejcha,5457,https://pbs.twimg.com/profile_images/1806695785355984897/xg239ym1_bigger.jpg,0,0.15
jLumen8,5459,https://pbs.twimg.com/profile_images/1677832303232311296/KJznqBnq_bigger.png,0,0.15
AlexDotEth,7098,https://pbs.twimg.com/profile_images/1841185372925018117/w4DVL97L_bigger.jpg,30,0.18
0xozzy,21,https://pbs.twimg.com/profile_images/1429128504252239875/PtGyMblm_bigger.jpg,0,0.18
0xMasonH,5595,https://pbs.twimg.com/profile_images/1509678416777428994/joV432vx_bigger.png,619,0.18
cryp7omaxi,5633,https://pbs.twimg.com/profile_images/1802779000944656384/Am8QqrqG_bigger.jpg,0,0.18
johnfdong,5686,https://pbs.twimg.com/profile_images/1811661953653424128/cuY1K5Eu_bigger.jpg,0,0.18
PurpleSuede22,5698,https://pbs.twimg.com/profile_images/1827898693611139072/vF-lgygs_bigger.jpg,89,0.18
motocoaster,5708,https://pbs.twimg.com/profile_images/1663961775543287836/zJ6UI8tZ_bigger.png,182,0.18
HassanBassiri,5697,https://pbs.twimg.com/profile_images/1833982573145718785/gW_RnLIe_bigger.jpg,0,0.18
0xChu,5710,https://pbs.twimg.com/profile_images/1803141379318751232/YtIxfkm6_bigger.jpg,0,0.18
Cryptonite94,5723,https://pbs.twimg.com/profile_images/1838261133938962432/mCmT8po0_bigger.jpg,194,0.18
cryptocoach_org,5733,https://pbs.twimg.com/profile_images/1752942722472673280/Z9ea1Wid_bigger.jpg,46,0.18
CryptoSinan,5802,https://pbs.twimg.com/profile_images/1233099679744843776/HsTE9f5A_bigger.jpg,0,0.18
bbjsol,5781,https://pbs.twimg.com/profile_images/1783857621016969216/N32jR0ka_bigger.jpg,86.5,0.18
ShinoTohkaNC,5795,https://pbs.twimg.com/profile_images/1798675516850839552/uunhdL6X_bigger.jpg,16.5,0.18
CRNtrades,5791,https://pbs.twimg.com/profile_images/1735271401886531584/L3tLimki_bigger.png,140,0.18
web3tokenomics,5813,https://pbs.twimg.com/profile_images/1833075366191144960/Nz8Wnjde_bigger.jpg,125,0.18
